Project ID,Sr No.,Item Name,Item Category,Quantity,UOM,Rate ($),Amount ($),Weight (kg),Month,Year,Company Name,City,Country
AG-SEP24,16,Gear Grarri,Mechanical,1.0,No., $125.00 ,125.0,20.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,17,Lathe machine 5 ft,Mechanical,1.0,No.," $1,301.00 ",1301.0,1000.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,18,Magnetic DrillÂ Machine,Mechanical,1.0,No., $161.00 ,161.0,40.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,19,PAD DRILL MACHINE,Mechanical,1.0,No., $214.00 ,214.0,100.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,20,"SILVER PULLY, 4, 18, 20",Mechanical,3.0,No., $47.00 ,141.0,100.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,21,"SILVER PULLY, 8, 12, 12A, 14, 16",Mechanical,5.0,NO., $36.00 ,179.0,100.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,22,Vernier calipers,Mechanical,1.0,No., $8.00 ,8.0,1.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,23,Copper Pipe,Paktharm Matrial,5.0,KG, $14.00 ,71.0,50.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,24,Diode,Paktharm Matrial,1.0,NO., $89.00 ,89.0,10.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,25,Mica Sheet,Paktharm Matrial,1.0,NO., $18.00 ,18.0,25.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,26,Moter Pump,Paktharm Matrial,2.0,NO., $536.00 ,1071.0,100.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,27,Thyristor,Paktharm Matrial,2.0,NO., $71.00 ,143.0,20.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,28, Square Bar 6 mm,Raw Material,50.0,KG, $1.00 ,59.0,500.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,29,Ampaler 9 & 12 Inch,Raw Material,2.0,No., $12.00 ,23.0,25.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,30,BRASS Welding Rod,Raw Material,1.0,kg, $8.00 ,8.0,1.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,31,Copper Welding Rod,Raw Material,0.5,kg, $25.00 ,13.0,0.5,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,32,FABRICATED C CHENNEL,Raw Material,2.0,Ton," $1,161.00 ",2321.0,2000.0,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,33,L CLEAT,Raw Material,72.3,KG, $1.00 ,71.0,72.3,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
AG-SEP24,34,M12*35 NUT & BOLTS HOT DIP,Raw Material,950.0,No., $-   ,204.0,47.5,Augest,2024,Foundary Port Sudan,Khartoum,Sudan
